name,exchange,root_ticker,GoogleFin_ticker
Jagercor Energy Corp.,Canadian Securities Exchange,JEM,CNSX:JEM
James Bay Resources Limited  ,Canadian Securities Exchange,JBR,CNSX:JBR
JDF Explorations Inc. ,Canadian Securities Exchange,JDF,CNSX:JDF
JG Wealth Management Corporation,Canadian Securities Exchange,JGW,CNSX:JGW
Kaneh Bosm Biotechnology Inc. ,Canadian Securities Exchange,KBB,CNSX:KBB
Khan Resources Inc.,Canadian Securities Exchange,KRI,CNSX:KRI
"Khot Infrastructure Holdings, Ltd.",Canadian Securities Exchange,KOT,CNSX:KOT
KWG Resources Inc.,Canadian Securities Exchange,KWG,CNSX:KWG
La Imperial Resources Inc.,Canadian Securities Exchange,LAI,CNSX:LAI
Laguna Blends Inc.,Canadian Securities Exchange,LAG,CNSX:LAG
LeenLife Pharma International Inc.,Canadian Securities Exchange,LLP,CNSX:LLP
Leo Resources Inc. ,Canadian Securities Exchange,LEO,CNSX:LEO
Lexaria Bioscience Corp.,Canadian Securities Exchange,LXX,CNSX:LXX
Lifestyle Delivery Systems Inc. ,Canadian Securities Exchange,LDS,CNSX:LDS
Lightning Ventures Inc.,Canadian Securities Exchange,LVI,CNSX:LVI
Lions Gate Metals Inc.,Canadian Securities Exchange,LGM,CNSX:LGM
Lite Access Technologies Inc. ,Canadian Securities Exchange,LTE,CNSX:LTE
Lotus Ventures Inc.  ,Canadian Securities Exchange,J,CNSX:J
M Pharmaceutical Inc.,Canadian Securities Exchange,MQ,CNSX:MQ
Maccabi Ventures Inc. ,Canadian Securities Exchange,MBE,CNSX:MBE
Mag Copper Limited,Canadian Securities Exchange,QUE,CNSX:QUE
Mag One Products Inc.,Canadian Securities Exchange,MDD,CNSX:MDD
Manitoba Builder Bonds XIII,Canadian Securities Exchange,MBM.DB.B,CNSX:MBM.DB.B
Manitoba Builder Bonds XIIII,Canadian Securities Exchange,BBN.DB.A,CNSX:BBN.DB.A
Manitoba Hydro Bonds XII,Canadian Securities Exchange,MHL.DB.B,CNSX:MHL.DB.B
MB Builder Bond 3 Yr. Annual Fixed Rate 1.4%,Canadian Securities Exchange,BMB.DB.A,CNSX:BMB.DB.A
MB Builder Bond 5 Yr. Annual Fixed Rate 1.1%,Canadian Securities Exchange,BMB.DB.B,CNSX:BMB.DB.B
Marapharm Ventures Inc,Canadian Securities Exchange,MDM,CNSX:MDM
Marret High Yield Strategies Fundraiser,Canadian Securities Exchange,MHY.UN,CNSX:MHY.UN
Marret Multi-Strategy Income Fundraiser,Canadian Securities Exchange,MMF.UN,CNSX:MMF.UN
Matica Enterprise Inc.,Canadian Securities Exchange,MMJ,CNSX:MMJ
Maxtech Ventures Inc. ,Canadian Securities Exchange,MVT,CNSX:MVT
McLaren Resources Inc.,Canadian Securities Exchange,MCL,CNSX:MCL
ME Resources Corp. ,Canadian Securities Exchange,MEC,CNSX:MEC
Metalo Manufacturing Inc. ,Canadian Securities Exchange,MMI,CNSX:MMI
Medipure Holdings Inc.,Canadian Securities Exchange,MDH,CNSX:MDH
MGX Minerals Inc. ,Canadian Securities Exchange,XMG,CNSX:XMG
Micromem Technologies Inc. ,Canadian Securities Exchange,MRM,CNSX:MRM
Midnight Star Ventures Corp. ,Canadian Securities Exchange,STV,CNSX:STV
Mint Corporation ,Canadian Securities Exchange,MIT.DB.C,CNSX:MIT.DB.C
Mistango River Resources Inc.,Canadian Securities Exchange,MIS,CNSX:MIS
MOAG Copper Gold Resources Inc. ,Canadian Securities Exchange,MOG,CNSX:MOG
Mobi724 Global Solutions Inc.,Canadian Securities Exchange,MOS,CNSX:MOS
Montego Resources Inc.,Canadian Securities Exchange,MY,CNSX:MY
Mountain Lake Minerals Inc.,Canadian Securities Exchange,MLK,CNSX:MLK
Mountainstar Gold Inc.,Canadian Securities Exchange,MSX,CNSX:MSX
Murchison Minerals Ltd. ,Canadian Securities Exchange,MUR,CNSX:MUR
MYM Nutraceuticals Inc.,Canadian Securities Exchange,MYM,CNSX:MYM
Meryllion Resources Corporation,Canadian Securities Exchange,MYR,CNSX:MYR
Namaste Technologies Inc,Canadian Securities Exchange,N,CNSX:N
Nanostruck Technologies Inc.,Canadian Securities Exchange,NSK,CNSX:NSK
Nass Valley Gateway Ltd.,Canadian Securities Exchange,NVG,CNSX:NVG
Navis Resources Corp,Canadian Securities Exchange,SUV,CNSX:SUV
NEMI Northern Energy & Mining Inc.,Canadian Securities Exchange,NNE,CNSX:NNE
NetCents Technology Inc. ,Canadian Securities Exchange,NC,CNSX:NC
Network Life Sciences Inc. ,Canadian Securities Exchange,NOI,CNSX:NOI
New Age Farm Inc. ,Canadian Securities Exchange,NF,CNSX:NF
Newlox Gold Ventures Corp.,Canadian Securities Exchange,LUX,CNSX:LUX
Newnote Financial Corp.,Canadian Securities Exchange,NEU,CNSX:NEU
Northern Sphere Mining Corp.  ,Canadian Securities Exchange,NSM,CNSX:NSM
Norsemont Capital Inc.,Canadian Securities Exchange,NOM,CNSX:NOM
Nuran Wireless Inc. ,Canadian Securities Exchange,NUR,CNSX:NUR
NSS Resources Inc. ,Canadian Securities Exchange,NSS,CNSX:NSS
Nutritional High International Inc.,Canadian Securities Exchange,EAT,CNSX:EAT
Oceanside Capital Corp. ,Canadian Securities Exchange,OCE,CNSX:OCE
Open Source Health Inc.  ,Canadian Securities Exchange,OSH,CNSX:OSH
Orca Touchscreen Technologies Ltd. ,Canadian Securities Exchange,OAA,CNSX:OAA
Organic Potash Corporation,Canadian Securities Exchange,OPC,CNSX:OPC
Oriental Non-Ferrous Resources Development Inc. ,Canadian Securities Exchange,URG,CNSX:URG
